GENE_NAME	GSM4217259	GSM4217258	GSM4217257	GSM4217256	GSM4217251	GSM4217250	GSM4217253	GSM4217252	GSM4217255	GSM4217254	GSM4217261	GSM4217260
RBM26	ENSMUSG00000022119	109.65	88.43	94.54	76.18	86.67	55.83	94.76	54.86	92.65	64.02	43.58	45.37
RNF219	ENSMUSG00000022120	13.66	18.43	14.26	16.99	9.98	14.65	8.22	9.39	16.14	18.56	7.76	12.69
EDNRB	ENSMUSG00000022122	0.01	0.01	0.02	0.03	0.09	0.11	0.05	0.04	0.03	0.03	4.66	1.75
SCEL	ENSMUSG00000022123	0.03	0.01	0.01	0.00	0.01	0.00	0.00	0.00	0.01	0.00	4.36	1.77
FBXL3	ENSMUSG00000022124	59.03	67.64	52.43	57.94	43.91	38.78	52.02	39.12	50.56	58.54	45.44	44.01
CLN5	ENSMUSG00000022125	13.53	16.80	14.93	14.28	12.52	14.60	6.54	9.27	15.02	13.67	8.49	12.85
IRG1	ENSMUSG00000022126	0.04	0.05	0.01	0.04	0.02	0.06	0.03	0.10	0.01	0.02	0.00	0.00
DCT	ENSMUSG00000022129	0.02	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.02	0.00	0.00	0.00
TGDS	ENSMUSG00000022130	8.68	10.32	10.32	11.09	7.02	8.80	4.29	7.11	7.97	10.18	2.79	6.35
GPR180	ENSMUSG00000022131	4.92	5.11	4.64	5.05	3.41	4.59	2.71	3.04	5.25	6.63	3.35	4.00
CLDN10	ENSMUSG00000022132	2.30	1.20	2.21	1.98	1.01	0.61	1.54	1.10	1.47	1.29	0.17	0.28
DNAJC3	ENSMUSG00000022136	67.06	61.90	60.58	50.34	45.24	42.31	41.42	42.03	59.68	56.64	23.35	33.27
MBNL2	ENSMUSG00000022139	42.37	42.11	62.51	74.59	27.06	23.83	30.61	21.56	28.76	34.80	23.32	26.36
NIPBL	ENSMUSG00000022141	61.66	58.06	69.02	67.49	57.63	48.56	69.92	78.61	64.20	54.28	31.23	42.38
NUP155	ENSMUSG00000022142	18.77	20.33	28.31	28.69	24.26	25.20	22.71	29.31	30.97	30.10	13.44	18.34
GDNF	ENSMUSG00000022144	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.01	0.00
OSMR	ENSMUSG00000022146	0.18	0.19	0.19	0.17	0.31	0.09	0.22	0.19	0.22	0.10	0.05	0.03
FYB	ENSMUSG00000022148	107.99	156.23	126.31	295.08	127.55	190.14	124.53	293.35	104.90	125.52	214.68	229.79
C9	ENSMUSG00000022149	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
DAB2	ENSMUSG00000022150	0.10	0.07	0.15	0.22	0.12	0.00	0.20	0.20	0.18	0.16	0.01	0.13
TTC33	ENSMUSG00000022151	15.31	14.53	21.87	21.87	16.48	19.16	29.57	22.58	20.41	21.61	16.39	15.83
MROH2B	ENSMUSG00000022155	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GZME	ENSMUSG00000022156	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MCPT8	ENSMUSG00000022157	1.42	2.10	1.01	0.42	2.60	2.22	1.69	6.41	0.80	0.22	0.07	0.29
RAB2B	ENSMUSG00000022159	13.20	11.99	13.15	11.13	9.86	7.50	7.88	7.04	12.52	11.84	8.43	7.44
METTL3	ENSMUSG00000022160	32.87	39.27	37.90	45.11	23.91	27.64	18.31	24.31	38.28	40.84	16.91	27.70
DAD1	ENSMUSG00000022174	49.93	51.67	61.58	54.24	30.58	35.20	39.28	32.29	63.59	69.76	51.28	46.18
LRP10	ENSMUSG00000022175	30.99	29.88	31.81	30.89	16.90	15.08	19.74	16.87	31.71	36.17	21.99	17.01
REM2	ENSMUSG00000022176	1.72	1.87	0.66	0.65	0.37	0.59	1.19	0.96	0.47	0.46	1.57	1.16
HAUS4	ENSMUSG00000022177	37.09	38.87	45.41	49.51	27.75	29.64	23.11	26.54	46.62	50.12	27.72	23.92
AJUBA	ENSMUSG00000022178	0.82	0.90	0.06	0.03	0.09	0.02	0.06	0.06	0.66	0.81	2.76	2.68
4931414P19RIK	ENSMUSG00000022179	2.44	1.82	2.77	3.03	3.04	2.44	1.51	2.34	2.50	2.09	1.96	2.43
SLC7A8	ENSMUSG00000022180	0.19	0.12	0.42	0.16	0.57	0.31	0.30	0.53	0.34	0.10	0.11	0.07
C6	ENSMUSG00000022181	0.21	0.24	0.08	0.07	0.24	0.32	0.30	0.29	0.12	0.09	0.18	0.10
FBXO4	ENSMUSG00000022184	4.71	3.68	7.02	4.45	5.37	3.97	8.93	4.00	5.86	5.35	4.68	3.31
ACIN1	ENSMUSG00000022185	167.49	168.58	164.05	179.34	133.58	122.46	125.78	123.64	158.18	186.67	121.38	102.96
OXCT1	ENSMUSG00000022186	33.07	32.03	61.26	48.65	45.22	40.87	31.75	34.93	48.69	37.26	27.08	32.82
GM5546	ENSMUSG00000022187	0.04	0.01	0.00	0.00	0.03	0.00	0.00	0.01	0.00	0.01	0.00	0.00
DROSHA	ENSMUSG00000022191	20.97	20.35	27.64	30.84	28.25	28.10	25.10	31.83	21.87	20.82	31.92	25.43
PSMB5	ENSMUSG00000022193	90.99	89.16	124.44	113.89	69.11	76.57	63.57	61.61	107.96	124.32	89.69	78.61
PABPN1	ENSMUSG00000022194	115.19	124.98	106.60	113.37	79.96	105.41	97.32	79.58	134.44	153.86	78.60	83.12
6030458C11RIK	ENSMUSG00000022195	9.98	12.31	15.69	17.41	11.05	13.62	13.05	16.17	14.75	16.56	12.43	15.08
PDZD2	ENSMUSG00000022197	0.49	0.43	0.49	0.46	0.62	0.48	0.99	0.75	0.39	0.48	0.38	0.16
SLC22A17	ENSMUSG00000022199	0.00	0.01	0.03	0.04	0.00	0.04	0.06	0.03	0.00	0.01	0.02	0.00
GOLPH3	ENSMUSG00000022200	39.05	39.82	49.61	43.24	36.76	35.32	50.43	50.22	61.06	54.35	31.62	36.81
ZFR	ENSMUSG00000022201	56.00	54.91	61.11	61.39	52.58	47.70	60.04	68.96	57.00	47.80	35.61	41.25
EFS	ENSMUSG00000022203	0.03	0.00	0.05	0.01	0.01	0.00	0.02	0.00	0.00	0.01	0.00	0.00
NGDN	ENSMUSG00000022204	42.33	44.87	54.91	52.15	31.28	31.50	36.73	30.84	60.24	62.43	40.28	38.78
SUB1	ENSMUSG00000022205	198.69	230.91	381.81	375.17	218.08	232.62	298.10	319.71	394.82	371.26	197.57	207.62
NPR3	ENSMUSG00000022206	0.00	0.00	0.03	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00
JPH4	ENSMUSG00000022208	0.04	0.05	0.14	0.05	0.09	0.11	0.00	0.02	0.00	0.03	0.01	0.00
DHRS2	ENSMUSG00000022209	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
DHRS4	ENSMUSG00000022210	10.54	9.33	9.19	6.72	7.23	5.88	9.48	6.18	17.91	19.41	10.83	9.18
LRRC16B	ENSMUSG00000022211	0.06	0.01	0.00	0.02	0.00	0.00	0.00	0.04	0.01	0.01	0.01	0.00
CPNE6	ENSMUSG00000022212	0.00	0.00	0.01	0.00	0.07	0.00	0.02	0.00	0.00	0.00	0.00	0.00
DCAF11	ENSMUSG00000022214	24.94	22.40	21.21	20.05	20.62	18.71	15.63	15.18	24.33	26.50	21.87	17.20
FITM1	ENSMUSG00000022215	0.00	0.00	0.00	0.06	0.05	0.00	0.00	0.05	0.12	0.06	0.00	0.00
PSME1	ENSMUSG00000022216	141.61	167.75	190.10	191.16	116.82	149.56	111.79	104.22	190.46	206.53	149.95	135.46
EMC9	ENSMUSG00000022217	2.27	1.24	3.09	2.20	1.43	1.05	1.18	1.30	3.73	3.94	3.68	1.46
TGM1	ENSMUSG00000022218	0.14	0.26	0.13	0.35	0.37	0.68	0.54	0.35	0.25	0.25	0.20	0.15
CIDEB	ENSMUSG00000022219	0.09	0.13	0.06	0.10	0.00	0.00	0.07	0.08	0.10	0.08	0.19	0.04
ADCY4	ENSMUSG00000022220	0.10	0.07	0.08	0.03	0.05	0.10	0.04	0.06	0.07	0.13	0.03	0.00
RIPK3	ENSMUSG00000022221	31.93	32.77	32.60	29.34	19.86	21.82	20.16	16.91	42.22	43.73	11.67	9.81
SDR39U1	ENSMUSG00000022223	10.03	10.23	4.30	5.24	14.18	16.62	11.81	12.65	23.88	24.66	6.07	4.49
CMA1	ENSMUSG00000022225	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.03	0.00	0.00
MCPT2	ENSMUSG00000022226	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MCPT1	ENSMUSG00000022227	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.04	0.00	0.06	0.00
ZSCAN26	ENSMUSG00000022228	18.24	19.66	12.76	9.45	14.31	8.87	9.06	12.95	16.08	17.61	10.05	14.09
ATP12A	ENSMUSG00000022229	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SEMA5A	ENSMUSG00000022231	0.00	0.00	0.01	0.01	0.02	0.01	0.01	0.02	0.00	0.01	0.01	0.02
CCT5	ENSMUSG00000022234	148.04	193.34	259.32	304.46	188.80	239.81	231.45	260.69	325.22	344.35	242.58	258.37
CMBL	ENSMUSG00000022235	0.85	0.76	0.92	1.09	0.64	1.00	0.98	0.95	1.36	0.93	0.60	0.58
ROPN1L	ENSMUSG00000022236	0.50	0.24	0.25	0.26	0.23	0.43	0.58	0.49	0.57	0.34	0.20	0.05
ANKRD33B	ENSMUSG00000022237	0.08	0.10	0.06	0.09	0.51	0.43	0.15	0.33	0.17	0.05	0.05	0.08
CTNND2	ENSMUSG00000022240	0.03	0.01	0.06	0.04	0.05	0.03	0.01	0.01	0.01	0.00	0.04	0.01
TARS	ENSMUSG00000022241	23.41	28.05	36.56	36.81	28.09	37.58	47.89	38.87	43.27	52.09	36.35	36.60
SLC45A2	ENSMUSG00000022243	0.02	0.00	0.00	0.00	0.03	0.00	0.02	0.00	0.00	0.00	0.00	0.00
AMACR	ENSMUSG00000022244	0.85	0.80	1.72	1.56	1.08	1.42	1.59	2.25	2.32	2.32	0.00	0.02
SKOR1	ENSMUSG00000022245	0.00	0.03	0.06	0.08	0.00	0.00	0.04	0.00	0.00	0.00	0.03	0.00
RAI14	ENSMUSG00000022246	0.11	0.12	0.09	0.05	0.19	0.26	0.13	0.16	0.16	0.09	0.03	0.05
BRIX1	ENSMUSG00000022247	20.09	29.77	31.74	38.51	28.05	32.95	31.56	36.07	39.45	41.11	20.37	26.63
RAD1	ENSMUSG00000022248	9.73	10.37	13.88	15.74	11.97	14.66	13.29	15.35	15.21	17.31	8.71	11.45
TTC23L	ENSMUSG00000022249	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
NADK2	ENSMUSG00000022253	6.38	8.09	8.04	10.03	8.53	11.41	10.84	13.39	9.08	8.61	5.82	7.86
MTDH	ENSMUSG00000022255	91.66	92.67	129.38	140.23	114.54	125.75	130.63	121.24	161.41	156.38	79.28	94.08
LAPTM4B	ENSMUSG00000022257	1.42	1.51	0.32	0.30	5.68	5.35	0.50	0.56	3.00	2.90	0.06	0.25
SDC2	ENSMUSG00000022261	0.21	0.09	0.14	0.02	0.25	0.32	0.25	0.06	0.12	0.06	0.21	0.01
DNAH5	ENSMUSG00000022262	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00
TRIO	ENSMUSG00000022263	3.06	1.86	7.98	0.99	11.48	1.33	17.60	1.00	14.95	3.07	0.16	0.14
ANK	ENSMUSG00000022265	1.90	1.33	28.66	1.48	2.81	1.39	1.75	1.93	1.77	0.78	1.14	0.67
MARCH11	ENSMUSG00000022269	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00
FAM134B	ENSMUSG00000022270	10.53	13.16	3.34	4.03	2.17	2.15	2.41	3.26	2.70	3.30	0.48	0.85
MYO10	ENSMUSG00000022272	4.19	5.90	4.86	5.72	4.78	6.84	3.19	3.25	6.78	12.49	0.97	0.49
RNF19A	ENSMUSG00000022280	23.58	21.16	40.63	47.03	23.13	18.39	44.15	39.46	63.11	44.78	45.38	26.90
PABPC1	ENSMUSG00000022283	433.62	411.43	664.38	781.20	614.08	640.87	555.73	834.78	477.05	408.75	229.43	337.32
YWHAZ	ENSMUSG00000022285	215.87	219.84	285.39	281.60	242.24	223.37	269.91	298.22	289.66	258.57	177.89	202.01
GRHL2	ENSMUSG00000022286	0.39	0.31	1.39	1.37	1.04	0.72	2.02	1.71	0.96	0.71	5.80	4.23
4930447A16RIK	ENSMUSG00000022288	0.56	0.43	0.23	0.81	0.73	0.19	0.44	0.73	0.24	0.18	0.23	0.66
RRM2B	ENSMUSG00000022292	6.89	8.17	7.37	12.04	10.52	10.70	7.28	11.79	7.73	9.30	5.51	8.94
ATP6V1C1	ENSMUSG00000022295	17.54	21.33	26.52	25.79	20.70	24.18	26.24	27.02	28.00	27.40	19.16	24.10
BAALC	ENSMUSG00000022296	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FZD6	ENSMUSG00000022297	0.01	0.01	0.02	0.00	0.03	0.02	0.02	0.03	0.02	0.01	0.01	0.00
SLC25A32	ENSMUSG00000022299	4.15	6.77	6.48	8.93	4.82	9.04	7.19	7.97	7.58	9.55	3.27	7.16
DCAF13	ENSMUSG00000022300	26.50	32.23	50.26	46.04	34.40	43.05	53.78	43.48	55.94	56.51	33.76	37.37
DCSTAMP	ENSMUSG00000022303	0.05	0.01	0.00	0.00	0.02	0.00	0.07	0.00	0.00	0.00	0.00	0.00
DPYS	ENSMUSG00000022304	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.01	0.02	0.00
LRP12	ENSMUSG00000022305	5.39	7.45	5.76	9.49	6.02	5.89	16.84	16.76	10.56	11.72	8.98	8.05
ZFPM2	ENSMUSG00000022306	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.01	0.00	0.00
OXR1	ENSMUSG00000022307	22.80	21.70	32.67	22.49	39.60	29.25	39.78	32.77	46.72	36.19	18.96	23.85
ANGPT1	ENSMUSG00000022309	1.67	3.26	2.49	10.85	3.40	8.72	9.02	13.54	5.20	7.75	1.43	1.97
CSMD3	ENSMUSG00000022311	0.07	0.01	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.01	0.00	0.00
EIF3H	ENSMUSG00000022312	173.56	184.55	289.39	278.00	183.67	199.49	303.21	235.70	305.71	316.44	306.06	276.87
UTP23	ENSMUSG00000022313	6.21	8.15	8.63	10.14	7.13	7.95	10.77	11.07	10.43	11.63	6.66	10.28
RAD21	ENSMUSG00000022314	116.20	104.60	126.78	129.99	138.55	118.74	145.51	155.34	144.69	132.37	75.20	77.09
SLC30A8	ENSMUSG00000022315	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CDH10	ENSMUSG00000022321	0.05	0.06	0.03	0.05	0.11	0.07	0.04	0.02	0.04	0.01	0.04	0.00
SHCBP1	ENSMUSG00000022322	38.89	28.59	28.99	21.69	43.79	32.96	20.84	27.87	38.59	26.51	13.90	21.28
HRSP12	ENSMUSG00000022323	8.75	10.01	11.19	11.22	9.82	13.51	9.00	14.05	12.62	9.29	11.55	12.55
MATN2	ENSMUSG00000022324	2.04	1.43	0.38	0.31	1.70	1.70	1.30	0.91	6.09	6.76	0.17	0.23
POP1	ENSMUSG00000022325	6.19	7.52	11.37	15.68	9.06	12.81	10.20	14.73	12.39	17.42	7.67	14.61
STK3	ENSMUSG00000022329	6.11	7.27	3.09	3.34	9.13	7.86	7.22	9.62	11.31	12.59	0.11	0.20
OSR2	ENSMUSG00000022330	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00
KHDRBS3	ENSMUSG00000022332	0.08	0.00	0.04	0.00	0.08	0.19	0.07	0.05	0.04	0.00	0.00	0.02
ZFAT	ENSMUSG00000022335	3.65	4.01	4.08	4.38	5.91	6.07	4.23	4.79	3.21	3.45	2.55	3.58
EIF3E	ENSMUSG00000022336	194.55	221.27	266.24	266.89	215.31	233.82	302.52	263.84	350.01	323.15	284.90	284.26
EMC2	ENSMUSG00000022337	16.89	19.33	25.05	22.28	23.79	25.67	23.48	27.24	30.24	24.51	16.95	21.43
ENY2	ENSMUSG00000022338	15.10	14.39	19.37	17.86	16.46	16.60	20.26	18.28	23.17	23.45	13.94	14.70
EBAG9	ENSMUSG00000022339	9.98	10.93	12.37	12.98	10.87	15.01	12.57	16.57	16.29	17.54	9.60	13.28
SYBU	ENSMUSG00000022340	0.15	0.12	0.13	0.07	0.31	0.12	0.09	0.19	0.07	0.07	0.02	0.09
KCNV1	ENSMUSG00000022342	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MYC	ENSMUSG00000022346	25.04	61.05	27.31	77.00	26.84	87.72	38.10	61.39	23.36	66.84	31.32	81.28
A1BG	ENSMUSG00000022347	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00
E430025E21RIK	ENSMUSG00000022350	15.73	15.45	23.56	21.14	19.21	18.65	26.51	23.23	26.05	24.13	16.16	15.69
SQLE	ENSMUSG00000022351	10.30	10.89	24.41	28.78	19.75	26.08	27.45	26.61	39.51	35.82	11.07	17.81
MTSS1	ENSMUSG00000022353	18.90	14.64	26.56	18.33	26.41	13.34	25.08	23.16	25.40	19.87	6.31	4.80
NDUFB9	ENSMUSG00000022354	99.44	79.92	168.02	145.18	97.06	99.18	156.98	129.58	188.17	179.60	139.58	126.64
KLHL38	ENSMUSG00000022357	0.00	0.00	0.02	0.00	0.02	0.00	0.00	0.01	0.03	0.00	0.00	0.00
FBXO32	ENSMUSG00000022358	3.34	2.85	3.52	2.79	2.39	1.53	5.14	2.96	3.20	3.74	2.17	1.98
WDYHV1	ENSMUSG00000022359	11.25	16.70	20.69	19.95	11.87	14.47	8.00	19.05	17.94	16.94	9.79	15.20
ATAD2	ENSMUSG00000022360	52.86	66.79	74.69	71.81	48.22	59.23	38.35	75.48	83.78	81.82	33.70	52.38
ZHX1	ENSMUSG00000022361	25.75	27.42	31.66	33.07	26.69	28.49	37.25	34.21	37.81	35.77	21.59	30.85
9130401M01RIK	ENSMUSG00000022362	7.89	10.10	14.51	14.24	10.29	13.06	11.57	10.75	15.17	16.89	10.87	10.06
TBC1D31	ENSMUSG00000022364	12.22	10.21	15.94	14.23	11.17	12.54	12.48	18.62	13.74	14.46	6.52	9.06
DERL1	ENSMUSG00000022365	24.24	23.96	26.60	25.66	21.71	21.03	33.14	29.04	33.71	33.89	24.58	26.79
SLC22A22	ENSMUSG00000022366	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00
HAS2	ENSMUSG00000022367	0.02	0.03	0.00	0.05	0.07	0.10	0.02	0.03	0.01	0.02	0.00	0.02
MTBP	ENSMUSG00000022369	11.49	16.93	19.43	23.03	12.41	17.89	19.52	21.15	21.90	28.36	8.15	13.41
MRPL13	ENSMUSG00000022370	34.67	34.73	46.98	44.29	36.42	43.25	51.64	46.24	56.79	58.30	38.24	37.13
COL14A1	ENSMUSG00000022371	0.11	0.18	0.20	0.18	0.20	0.35	0.41	0.54	0.07	0.13	0.14	0.25
SLA	ENSMUSG00000022372	170.90	207.18	253.65	251.52	131.61	91.44	285.64	200.14	210.17	192.89	112.94	136.31
LRRC6	ENSMUSG00000022375	0.02	0.00	0.00	0.02	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.04
ADCY8	ENSMUSG00000022376	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00
ASAP1	ENSMUSG00000022377	13.32	13.26	17.74	14.64	17.49	15.98	26.05	20.43	11.49	10.62	8.00	6.88
FAM49B	ENSMUSG00000022378	61.42	80.14	86.40	100.02	67.66	92.54	100.62	109.49	92.44	104.29	74.07	80.72
WNT7B	ENSMUSG00000022382	0.03	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PPARA	ENSMUSG00000022383	0.02	0.00	0.08	0.01	0.00	0.00	0.03	0.01	0.00	0.00	0.00	0.00
GTSE1	ENSMUSG00000022385	16.37	11.28	20.71	18.19	18.92	20.76	18.20	16.59	27.17	23.14	8.54	9.22
TRMU	ENSMUSG00000022386	17.97	16.75	23.79	21.21	16.92	15.81	23.24	18.48	24.46	26.38	15.57	16.17
BRD1	ENSMUSG00000022387	38.08	39.20	85.35	105.54	39.39	56.18	42.61	57.49	45.43	53.41	29.73	32.62
TTLL8	ENSMUSG00000022388	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.06	0.00	0.00	0.00
TEF	ENSMUSG00000022389	5.81	6.76	6.29	7.70	7.11	8.06	8.53	7.05	7.69	10.21	11.15	11.52
ZC3H7B	ENSMUSG00000022390	16.76	16.95	22.29	27.51	17.17	19.27	22.36	21.99	21.60	27.39	16.26	13.47
RANGAP1	ENSMUSG00000022391	47.13	42.61	78.36	71.56	54.74	54.81	63.31	59.30	83.32	77.77	47.68	46.75
L3MBTL2	ENSMUSG00000022394	9.94	11.08	16.61	17.23	12.95	13.50	16.16	15.59	16.72	16.47	13.04	13.13
RBX1	ENSMUSG00000022400	27.79	28.51	39.91	43.51	29.85	30.80	45.65	38.98	47.76	50.43	38.98	32.65
XPNPEP3	ENSMUSG00000022401	6.61	5.98	8.17	6.97	7.28	7.29	8.02	8.50	7.32	6.62	4.89	3.93
ST13	ENSMUSG00000022403	50.54	82.03	118.40	170.70	82.19	131.08	91.09	123.91	104.67	115.92	81.30	106.93
SLC25A17	ENSMUSG00000022404	23.63	24.12	35.29	35.56	23.84	27.52	31.63	34.08	44.86	47.71	41.37	42.37
ADSL	ENSMUSG00000022407	38.61	41.86	77.85	82.43	50.66	61.36	61.23	61.45	75.60	83.39	54.68	50.53
FAM83F	ENSMUSG00000022408	0.26	0.25	0.58	0.57	0.24	0.28	0.66	0.64	0.49	0.82	0.21	0.19
MIEF1	ENSMUSG00000022412	11.22	11.26	15.26	16.43	10.53	12.18	16.62	15.01	15.63	17.90	11.99	11.08
TAB1	ENSMUSG00000022414	13.48	15.93	17.32	20.66	11.56	16.49	17.52	18.10	21.01	32.32	10.35	10.11
SYNGR1	ENSMUSG00000022415	4.26	4.10	5.68	5.73	0.45	2.07	3.26	3.76	3.77	6.04	5.99	4.73
CACNA1I	ENSMUSG00000022416	0.08	0.02	0.02	0.05	0.03	0.02	0.01	0.08	0.02	0.01	0.01	0.00
DEPTOR	ENSMUSG00000022419	12.55	11.63	31.83	38.62	13.95	12.50	17.60	28.88	20.02	18.35	7.63	5.79
DNAL4	ENSMUSG00000022420	6.97	7.56	11.70	13.05	8.30	6.49	16.24	10.88	11.06	13.97	10.77	10.42
NPTXR	ENSMUSG00000022421	0.16	0.15	0.27	0.17	0.10	0.04	0.22	0.13	0.18	0.12	0.45	0.03
DSCC1	ENSMUSG00000022422	7.34	9.40	14.10	16.79	9.83	12.34	12.01	13.81	15.06	16.02	8.18	9.21
ENPP2	ENSMUSG00000022425	0.12	0.09	0.09	0.03	0.10	0.03	0.08	0.05	0.12	0.08	0.02	0.02
JOSD1	ENSMUSG00000022426	7.03	9.84	10.74	13.97	8.18	11.43	12.34	13.99	9.80	11.04	8.75	10.14
TOMM22	ENSMUSG00000022427	63.19	66.56	97.47	91.08	74.55	85.75	110.41	92.23	109.92	112.94	80.00	76.18
CBY1	ENSMUSG00000022428	11.21	10.17	18.94	16.51	11.77	11.27	13.12	14.02	18.68	20.65	11.43	12.93
DMC1	ENSMUSG00000022429	0.05	0.21	0.11	0.07	0.09	0.12	0.06	0.10	0.05	0.06	0.10	0.04
RIBC2	ENSMUSG00000022431	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SMC1B	ENSMUSG00000022432	0.00	0.01	0.01	0.02	0.02	0.00	0.05	0.03	0.03	0.01	0.01	0.00
CSNK1E	ENSMUSG00000022433	28.84	38.95	50.68	65.83	21.17	30.56	31.23	42.21	39.37	65.54	40.84	39.37
FAM118A	ENSMUSG00000022434	3.85	3.81	4.16	5.35	5.05	5.17	7.18	6.53	6.22	6.29	4.35	4.38
UPK3A	ENSMUSG00000022435	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SH3BP1	ENSMUSG00000022436	12.97	10.44	22.70	16.71	17.28	20.12	18.68	13.54	21.30	20.19	10.16	8.84
SAMM50	ENSMUSG00000022437	34.66	34.96	57.08	53.09	44.38	46.60	58.92	45.68	64.98	68.69	54.10	41.63
PARVB	ENSMUSG00000022438	1.57	1.08	0.59	0.77	1.47	0.85	2.25	1.54	0.78	0.54	0.48	0.37
PARVG	ENSMUSG00000022439	92.13	91.24	155.20	155.59	109.94	121.56	125.74	121.12	158.40	169.88	147.92	136.93
C1QTNF6	ENSMUSG00000022440	0.19	0.22	0.14	0.24	0.62	0.54	0.25	0.83	0.56	0.57	0.30	0.07
EFCAB6	ENSMUSG00000022441	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TTLL1	ENSMUSG00000022442	2.00	2.51	4.28	4.67	1.81	2.15	2.73	3.54	2.89	3.33	0.90	1.70
MYH9	ENSMUSG00000022443	142.28	160.21	240.76	265.11	145.90	158.87	196.65	228.07	213.53	240.02	157.04	155.07
CYP2D26	ENSMUSG00000022445	0.06	0.00	0.02	0.06	0.06	0.00	0.00	0.08	0.04	0.09	0.03	0.03
ADAMTS20	ENSMUSG00000022449	0.94	0.57	1.54	1.73	3.17	3.16	1.75	1.49	1.20	1.13	1.78	1.70
NDUFA6	ENSMUSG00000022450	90.25	109.51	137.15	137.00	95.86	113.86	132.55	123.04	170.35	165.98	132.35	136.45
TWF1	ENSMUSG00000022451	12.46	10.84	16.32	13.30	12.31	18.37	25.84	12.38	14.47	13.61	12.21	10.38
SMDT1	ENSMUSG00000022452	66.57	68.31	106.18	97.58	87.96	89.76	119.61	82.68	138.50	128.80	104.35	95.67
NAGA	ENSMUSG00000022453	27.11	24.81	18.55	14.66	23.09	19.74	13.30	11.00	26.61	25.19	10.70	7.83
NELL2	ENSMUSG00000022454	0.03	0.06	0.01	0.00	0.03	0.00	0.00	0.01	0.03	0.05	0.00	0.00
WBP2NL	ENSMUSG00000022455	0.04	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.03	0.02	0.00	0.00
SEPT3	ENSMUSG00000022456	0.08	0.03	0.04	0.01	0.19	0.02	0.15	0.05	0.06	0.01	0.06	0.03
SLC38A2	ENSMUSG00000022462	40.42	67.67	46.63	65.40	36.08	63.24	42.82	77.80	43.10	74.72	39.48	93.83
SREBF2	ENSMUSG00000022463	30.94	30.37	41.64	48.73	33.48	38.44	47.91	47.53	48.84	67.44	28.00	22.24
SLC38A4	ENSMUSG00000022464	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
RPAP3	ENSMUSG00000022466	10.31	11.22	17.25	16.17	14.02	13.68	16.35	15.70	20.24	21.58	13.51	12.10
ENDOU	ENSMUSG00000022468	128.63	167.71	282.17	279.42	138.42	148.80	219.03	212.94	269.49	295.22	147.91	128.05
RAPGEF3	ENSMUSG00000022469	27.33	30.91	53.32	57.68	38.87	45.86	22.28	34.61	59.68	73.37	65.68	72.43
